min,max,woe,odds,accur
0.000000,0.010000,2.574504,9.707774,0.907
0.010000,0.100000,1.947589,5.186257,0.838
0.100000,0.160000,1.429876,3.090395,0.756
0.160000,0.210000,1.057768,2.130147,0.681
0.210000,0.250000,0.800403,1.646787,0.622
0.250000,0.290000,0.526364,1.252056,0.556
0.290000,0.330000,0.304752,1.003180,0.501
0.330000,0.370000,0.124288,0.837538,0.456
0.370000,0.410000,-0.026789,0.720099,0.419
0.410000,0.460000,-0.198564,0.606445,0.378
0.460000,0.500000,-0.336446,0.528336,0.346
0.500000,0.560000,-0.466854,0.463740,0.317
0.560000,0.610000,-0.575035,0.416191,0.294
0.610000,0.680000,-0.637409,0.391024,0.281
0.680000,0.760000,-0.779791,0.339131,0.253
0.760000,0.870000,-0.907475,0.298480,0.230
0.870000,1.000000,-1.054361,0.257705,0.205
1.000000,999999.000000,-1.452196,0.173120,0.148
